20230619.dat
         5.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  30.00  0.00 45.00  0.00 115.00  0.00 130.00  0.00 -0.03912 
4  30.00  0.00 45.00  0.00 130.00  0.00 90.00  0.00 0.18579 
4  30.00  0.00 45.00  0.00 90.00  0.00 105.00  0.00 -0.11523 
4  30.00  0.00 45.00  0.00 105.00  0.00 120.00  0.00 -0.04402 
4  30.00  0.00 50.00  0.00 100.00  0.00 120.00  0.00 -0.09076 
4  30.00  0.00 50.00  0.00 120.00  0.00 140.00  0.00 -0.09665 
4  30.00  0.00 50.00  0.00 140.00  0.00 105.00  0.00 0.16550 
4  30.00  0.00 50.00  0.00 105.00  0.00 125.00  0.00 -0.09151 
4  30.00  0.00 50.00  0.00 125.00  0.00 145.00  0.00 -0.08566 
4  30.00  0.00 50.00  0.00 145.00  0.00 110.00  0.00 0.49122 
4  30.00  0.00 50.00  0.00 110.00  0.00 130.00  0.00 -0.41964 
4  30.00  0.00 50.00  0.00 130.00  0.00 150.00  0.00 -0.04320 
4  30.00  0.00 50.00  0.00 150.00  0.00 115.00  0.00 0.10177 
4  30.00  0.00 50.00  0.00 115.00  0.00 135.00  0.00 -0.07399 
4  30.00  0.00 50.00  0.00 135.00  0.00 155.00  0.00 -0.02614 
4  35.00  0.00 40.00  0.00 80.00  0.00 85.00  0.00 -0.01660 
4  35.00  0.00 40.00  0.00 45.00  0.00 50.00  0.00 -3.11286 
4  35.00  0.00 40.00  0.00 50.00  0.00 55.00  0.00 -0.91831 
4  35.00  0.00 40.00  0.00 55.00  0.00 60.00  0.00 -0.42655 
4  35.00  0.00 40.00  0.00 60.00  0.00 65.00  0.00 -0.16666 
4  35.00  0.00 40.00  0.00 65.00  0.00 70.00  0.00 -0.06307 
4  35.00  0.00 40.00  0.00 70.00  0.00 75.00  0.00 -0.01802 
4  35.00  0.00 40.00  0.00 75.00  0.00 80.00  0.00 -0.02929 
4  35.00  0.00 45.00  0.00 65.00  0.00 75.00  0.00 -0.17923 
4  35.00  0.00 45.00  0.00 75.00  0.00 85.00  0.00 -0.06342 
4  35.00  0.00 45.00  0.00 85.00  0.00 95.00  0.00 -0.04879 
4  35.00  0.00 45.00  0.00 95.00  0.00 105.00  0.00 -0.03902 
4  35.00  0.00 45.00  0.00 105.00  0.00 70.00  0.00 0.20977 
4  35.00  0.00 45.00  0.00 70.00  0.00 80.00  0.00 -0.09634 
4  35.00  0.00 45.00  0.00 80.00  0.00 90.00  0.00 -0.01952 
4  35.00  0.00 45.00  0.00 90.00  0.00 100.00  0.00 -0.07928 
4  35.00  0.00 45.00  0.00 100.00  0.00 110.00  0.00 -0.01951 
4  35.00  0.00 50.00  0.00 85.00  0.00 100.00  0.00 -0.14844 
4  35.00  0.00 50.00  0.00 100.00  0.00 115.00  0.00 -0.06832 
4  35.00  0.00 50.00  0.00 115.00  0.00 130.00  0.00 -0.04647 
4  35.00  0.00 50.00  0.00 130.00  0.00 90.00  0.00 0.27871 
4  35.00  0.00 50.00  0.00 90.00  0.00 105.00  0.00 -0.18401 
4  35.00  0.00 50.00  0.00 105.00  0.00 120.00  0.00 -0.06649 
4  35.00  0.00 50.00  0.00 120.00  0.00 135.00  0.00 -0.04374 
4  35.00  0.00 50.00  0.00 135.00  0.00 95.00  0.00 0.18768 
4  35.00  0.00 50.00  0.00 95.00  0.00 110.00  0.00 0.22045 
4  35.00  0.00 50.00  0.00 110.00  0.00 125.00  0.00 -0.37278 
