Roudabout_allinone_22_06_2023.bin
         1.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  5.00  0.00 8.00  0.00 21.00  0.00 24.00  0.00 -0.02480 
4  5.00  0.00 8.00  0.00 24.00  0.00 16.00  0.00 0.17068 
4  5.00  0.00 8.00  0.00 16.00  0.00 19.00  0.00 -0.10586 
4  5.00  0.00 8.00  0.00 19.00  0.00 22.00  0.00 -0.06770 
4  5.00  0.00 8.00  0.00 22.00  0.00 25.00  0.00 -0.00382 
4  5.00  0.00 8.00  0.00 25.00  0.00 17.00  0.00 0.13163 
4  5.00  0.00 8.00  0.00 17.00  0.00 20.00  0.00 -0.07915 
4  5.00  0.00 8.00  0.00 20.00  0.00 23.00  0.00 -0.05057 
4  5.00  0.00 9.00  0.00 19.00  0.00 23.00  0.00 -0.09168 
4  5.00  0.00 9.00  0.00 23.00  0.00 27.00  0.00 -0.01933 
4  5.00  0.00 9.00  0.00 27.00  0.00 20.00  0.00 0.08453 
4  5.00  0.00 9.00  0.00 20.00  0.00 24.00  0.00 -0.06023 
4  5.00  0.00 9.00  0.00 24.00  0.00 28.00  0.00 -0.03012 
4  5.00  0.00 9.00  0.00 28.00  0.00 21.00  0.00 0.06473 
4  5.00  0.00 9.00  0.00 21.00  0.00 25.00  0.00 -0.04362 
4  5.00  0.00 9.00  0.00 25.00  0.00 29.00  0.00 -0.02743 
4  5.00  0.00 9.00  0.00 29.00  0.00 22.00  0.00 0.04046 
4  5.00  0.00 9.00  0.00 22.00  0.00 26.00  0.00 -0.01979 
4  5.00  0.00 9.00  0.00 26.00  0.00 30.00  0.00 -0.02605 
4  6.00  0.00 7.00  0.00 15.00  0.00 16.00  0.00 -0.01022 
4  6.00  0.00 7.00  0.00 8.00  0.00 9.00  0.00 -2.56314 
4  6.00  0.00 7.00  0.00 9.00  0.00 10.00  0.00 -0.45654 
4  6.00  0.00 7.00  0.00 10.00  0.00 11.00  0.00 -0.17689 
4  6.00  0.00 7.00  0.00 11.00  0.00 12.00  0.00 -0.09065 
4  6.00  0.00 7.00  0.00 12.00  0.00 13.00  0.00 -0.05427 
4  6.00  0.00 7.00  0.00 13.00  0.00 14.00  0.00 -0.02681 
4  6.00  0.00 7.00  0.00 14.00  0.00 15.00  0.00 -0.01756 
4  6.00  0.00 8.00  0.00 12.00  0.00 14.00  0.00 -0.24208 
4  6.00  0.00 8.00  0.00 14.00  0.00 16.00  0.00 -0.07563 
4  6.00  0.00 8.00  0.00 16.00  0.00 18.00  0.00 -0.06182 
4  6.00  0.00 8.00  0.00 18.00  0.00 20.00  0.00 -0.03417 
4  6.00  0.00 8.00  0.00 20.00  0.00 13.00  0.00 0.24760 
4  6.00  0.00 8.00  0.00 13.00  0.00 15.00  0.00 -0.12215 
4  6.00  0.00 8.00  0.00 15.00  0.00 17.00  0.00 -0.06401 
4  6.00  0.00 8.00  0.00 17.00  0.00 19.00  0.00 -0.04509 
4  6.00  0.00 8.00  0.00 19.00  0.00 21.00  0.00 -0.02836 
4  6.00  0.00 9.00  0.00 16.00  0.00 19.00  0.00 -0.12288 
4  6.00  0.00 9.00  0.00 19.00  0.00 22.00  0.00 -0.06616 
4  6.00  0.00 9.00  0.00 22.00  0.00 25.00  0.00 -0.01142 
4  6.00  0.00 9.00  0.00 25.00  0.00 17.00  0.00 0.14841 
4  6.00  0.00 9.00  0.00 17.00  0.00 20.00  0.00 -0.09201 
4  6.00  0.00 9.00  0.00 20.00  0.00 23.00  0.00 -0.06481 
4  6.00  0.00 9.00  0.00 23.00  0.00 26.00  0.00 0.00235 
4  6.00  0.00 9.00  0.00 26.00  0.00 18.00  0.00 0.11386 
4  6.00  0.00 9.00  0.00 18.00  0.00 21.00  0.00 -0.07019 
4  6.00  0.00 9.00  0.00 21.00  0.00 24.00  0.00 -0.02957 
4  6.00  0.00 10.00  0.00 20.00  0.00 24.00  0.00 -0.07044 
4  6.00  0.00 10.00  0.00 24.00  0.00 28.00  0.00 -0.03316 
