Roudabout20_06_2023_modifiedspacing2.5.bin
         2.50
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  12.50  0.00 17.50  0.00 32.50  0.00 37.50  0.00 -0.09775 
4  12.50  0.00 17.50  0.00 37.50  0.00 42.50  0.00 -0.04761 
4  12.50  0.00 17.50  0.00 42.50  0.00 47.50  0.00 -0.02851 
4  12.50  0.00 17.50  0.00 47.50  0.00 30.00  0.00 0.29483 
4  12.50  0.00 17.50  0.00 30.00  0.00 35.00  0.00 -0.18098 
4  12.50  0.00 17.50  0.00 35.00  0.00 40.00  0.00 -0.06602 
4  12.50  0.00 17.50  0.00 40.00  0.00 45.00  0.00 -0.03450 
4  12.50  0.00 17.50  0.00 45.00  0.00 50.00  0.00 -0.02369 
4  12.50  0.00 20.00  0.00 37.50  0.00 45.00  0.00 -0.10776 
4  12.50  0.00 20.00  0.00 45.00  0.00 52.50  0.00 -0.05530 
4  12.50  0.00 20.00  0.00 52.50  0.00 60.00  0.00 -0.03281 
4  12.50  0.00 20.00  0.00 60.00  0.00 40.00  0.00 0.14643 
4  12.50  0.00 20.00  0.00 40.00  0.00 47.50  0.00 -0.07991 
4  12.50  0.00 20.00  0.00 47.50  0.00 55.00  0.00 -0.04522 
4  12.50  0.00 20.00  0.00 55.00  0.00 62.50  0.00 -0.03071 
4  12.50  0.00 20.00  0.00 62.50  0.00 42.50  0.00 0.12421 
4  12.50  0.00 20.00  0.00 42.50  0.00 50.00  0.00 -0.06678 
4  12.50  0.00 20.00  0.00 50.00  0.00 57.50  0.00 -0.03939 
4  12.50  0.00 22.50  0.00 47.50  0.00 57.50  0.00 -0.08860 
4  12.50  0.00 22.50  0.00 57.50  0.00 67.50  0.00 -0.05061 
4  12.50  0.00 22.50  0.00 67.50  0.00 50.00  0.00 0.11087 
4  12.50  0.00 22.50  0.00 50.00  0.00 60.00  0.00 -0.07430 
4  12.50  0.00 22.50  0.00 60.00  0.00 70.00  0.00 -0.04666 
4  12.50  0.00 22.50  0.00 70.00  0.00 52.50  0.00 0.09775 
4  12.50  0.00 22.50  0.00 52.50  0.00 62.50  0.00 -0.06519 
4  12.50  0.00 22.50  0.00 62.50  0.00 72.50  0.00 -0.04099 
4  12.50  0.00 22.50  0.00 72.50  0.00 55.00  0.00 0.08715 
4  12.50  0.00 22.50  0.00 55.00  0.00 65.00  0.00 -0.05755 
4  12.50  0.00 22.50  0.00 65.00  0.00 75.00  0.00 -0.03739 
4  15.00  0.00 17.50  0.00 37.50  0.00 40.00  0.00 -0.01758 
4  15.00  0.00 17.50  0.00 20.00  0.00 22.50  0.00 -2.41690 
4  15.00  0.00 17.50  0.00 22.50  0.00 25.00  0.00 -0.58725 
4  15.00  0.00 17.50  0.00 25.00  0.00 27.50  0.00 -0.23459 
4  15.00  0.00 17.50  0.00 27.50  0.00 30.00  0.00 -0.12805 
4  15.00  0.00 17.50  0.00 30.00  0.00 32.50  0.00 -0.07559 
4  15.00  0.00 17.50  0.00 32.50  0.00 35.00  0.00 -0.03693 
4  15.00  0.00 17.50  0.00 35.00  0.00 37.50  0.00 -0.02203 
4  15.00  0.00 20.00  0.00 30.00  0.00 35.00  0.00 -0.27031 
4  15.00  0.00 20.00  0.00 35.00  0.00 40.00  0.00 -0.08932 
4  15.00  0.00 20.00  0.00 40.00  0.00 45.00  0.00 -0.04290 
4  15.00  0.00 20.00  0.00 45.00  0.00 50.00  0.00 -0.03028 
4  15.00  0.00 20.00  0.00 50.00  0.00 32.50  0.00 0.24916 
4  15.00  0.00 20.00  0.00 32.50  0.00 37.50  0.00 -0.13728 
4  15.00  0.00 20.00  0.00 37.50  0.00 42.50  0.00 -0.06148 
4  15.00  0.00 20.00  0.00 42.50  0.00 47.50  0.00 -0.03648 
4  15.00  0.00 20.00  0.00 47.50  0.00 52.50  0.00 -0.02410 
4  15.00  0.00 22.50  0.00 40.00  0.00 47.50  0.00 -0.11027 
4  15.00  0.00 22.50  0.00 47.50  0.00 55.00  0.00 -0.05853 
4  15.00  0.00 22.50  0.00 55.00  0.00 62.50  0.00 -0.03802 
4  15.00  0.00 22.50  0.00 62.50  0.00 42.50  0.00 0.16251 
4  15.00  0.00 22.50  0.00 42.50  0.00 50.00  0.00 -0.08884 
4  15.00  0.00 22.50  0.00 50.00  0.00 57.50  0.00 -0.04897 
4  15.00  0.00 22.50  0.00 57.50  0.00 65.00  0.00 -0.03382 
4  15.00  0.00 22.50  0.00 65.00  0.00 45.00  0.00 0.13737 
4  15.00  0.00 22.50  0.00 45.00  0.00 52.50  0.00 -0.07322 
4  15.00  0.00 22.50  0.00 52.50  0.00 60.00  0.00 -0.04246 
4  15.00  0.00 25.00  0.00 50.00  0.00 60.00  0.00 -0.09282 
4  15.00  0.00 25.00  0.00 60.00  0.00 70.00  0.00 -0.05649 
4  15.00  0.00 25.00  0.00 70.00  0.00 52.50  0.00 0.12008 
4  15.00  0.00 25.00  0.00 52.50  0.00 62.50  0.00 -0.08002 
4  15.00  0.00 25.00  0.00 62.50  0.00 72.50  0.00 -0.04939 
4  15.00  0.00 25.00  0.00 72.50  0.00 55.00  0.00 0.10609 
4  15.00  0.00 25.00  0.00 55.00  0.00 65.00  0.00 -0.07159 
4  15.00  0.00 25.00  0.00 65.00  0.00 75.00  0.00 -0.04414 
4  15.00  0.00 25.00  0.00 75.00  0.00 57.50  0.00 0.09421 
4  15.00  0.00 25.00  0.00 57.50  0.00 67.50  0.00 -0.06223 
4  15.00  0.00 25.00  0.00 67.50  0.00 77.50  0.00 -0.03984 
4  17.50  0.00 20.00  0.00 40.00  0.00 42.50  0.00 -0.01288 
4  17.50  0.00 20.00  0.00 22.50  0.00 25.00  0.00 -2.29312 
4  17.50  0.00 20.00  0.00 25.00  0.00 27.50  0.00 -0.48409 
4  17.50  0.00 20.00  0.00 27.50  0.00 30.00  0.00 -0.20982 
4  17.50  0.00 20.00  0.00 30.00  0.00 32.50  0.00 -0.10888 
4  17.50  0.00 20.00  0.00 32.50  0.00 35.00  0.00 -0.04885 
4  17.50  0.00 20.00  0.00 35.00  0.00 37.50  0.00 -0.02853 
4  17.50  0.00 20.00  0.00 37.50  0.00 40.00  0.00 -0.02014 
4  17.50  0.00 22.50  0.00 32.50  0.00 37.50  0.00 -0.21832 
4  17.50  0.00 22.50  0.00 37.50  0.00 42.50  0.00 -0.08963 
4  17.50  0.00 22.50  0.00 42.50  0.00 47.50  0.00 -0.04851 
4  17.50  0.00 22.50  0.00 47.50  0.00 52.50  0.00 -0.03173 
4  17.50  0.00 22.50  0.00 52.50  0.00 35.00  0.00 0.24851 
4  17.50  0.00 22.50  0.00 35.00  0.00 40.00  0.00 -0.13472 
4  17.50  0.00 22.50  0.00 40.00  0.00 45.00  0.00 -0.05950 
4  17.50  0.00 22.50  0.00 45.00  0.00 50.00  0.00 -0.03973 
4  17.50  0.00 22.50  0.00 50.00  0.00 55.00  0.00 -0.02515 
